Name: af-ZA-Standard-A, Language Codes: af-ZA, SSML Gender: FEMALE
Name: am-ET-Standard-A, Language Codes: am-ET, SSML Gender: FEMALE
Name: am-ET-Standard-B, Language Codes: am-ET, SSML Gender: MALE
Name: am-ET-Wavenet-A, Language Codes: am-ET, SSML Gender: FEMALE
Name: am-ET-Wavenet-B, Language Codes: am-ET, SSML Gender: MALE
Name: ar-XA-Chirp3-HD-Aoede, Language Codes: ar-XA, SSML Gender: FEMALE
Name: ar-XA-Chirp3-HD-Charon, Language Codes: ar-XA, SSML Gender: MALE
Name: ar-XA-Chirp3-HD-Fenrir, Language Codes: ar-XA, SSML Gender: MALE
Name: ar-XA-Chirp3-HD-Kore, Language Codes: ar-XA, SSML Gender: FEMALE
Name: ar-XA-Chirp3-HD-Leda, Language Codes: ar-XA, SSML Gender: FEMALE
Name: ar-XA-Chirp3-HD-Orus, Language Codes: ar-XA, SSML Gender: MALE
Name: ar-XA-Chirp3-HD-Puck, Language Codes: ar-XA, SSML Gender: MALE
Name: ar-XA-Chirp3-HD-Zephyr, Language Codes: ar-XA, SSML Gender: FEMALE
Name: ar-XA-Standard-A, Language Codes: ar-XA, SSML Gender: FEMALE
Name: ar-XA-Standard-B, Language Codes: ar-XA, SSML Gender: MALE
Name: ar-XA-Standard-C, Language Codes: ar-XA, SSML Gender: MALE
Name: ar-XA-Standard-D, Language Codes: ar-XA, SSML Gender: FEMALE
Name: ar-XA-Wavenet-A, Language Codes: ar-XA, SSML Gender: FEMALE
Name: ar-XA-Wavenet-B, Language Codes: ar-XA, SSML Gender: MALE
Name: ar-XA-Wavenet-C, Language Codes: ar-XA, SSML Gender: MALE
Name: ar-XA-Wavenet-D, Language Codes: ar-XA, SSML Gender: FEMALE
Name: bg-BG-Standard-A, Language Codes: bg-BG, SSML Gender: FEMALE
Name: bg-BG-Standard-B, Language Codes: bg-BG, SSML Gender: FEMALE
Name: bn-IN-Chirp3-HD-Aoede, Language Codes: bn-IN, SSML Gender: FEMALE
Name: bn-IN-Chirp3-HD-Charon, Language Codes: bn-IN, SSML Gender: MALE
Name: bn-IN-Chirp3-HD-Fenrir, Language Codes: bn-IN, SSML Gender: MALE
Name: bn-IN-Chirp3-HD-Kore, Language Codes: bn-IN, SSML Gender: FEMALE
Name: bn-IN-Chirp3-HD-Leda, Language Codes: bn-IN, SSML Gender: FEMALE
Name: bn-IN-Chirp3-HD-Orus, Language Codes: bn-IN, SSML Gender: MALE
Name: bn-IN-Chirp3-HD-Puck, Language Codes: bn-IN, SSML Gender: MALE
Name: bn-IN-Chirp3-HD-Zephyr, Language Codes: bn-IN, SSML Gender: FEMALE
Name: bn-IN-Standard-A, Language Codes: bn-IN, SSML Gender: FEMALE
Name: bn-IN-Standard-B, Language Codes: bn-IN, SSML Gender: MALE
Name: bn-IN-Standard-C, Language Codes: bn-IN, SSML Gender: FEMALE
Name: bn-IN-Standard-D, Language Codes: bn-IN, SSML Gender: MALE
Name: bn-IN-Wavenet-A, Language Codes: bn-IN, SSML Gender: FEMALE
Name: bn-IN-Wavenet-B, Language Codes: bn-IN, SSML Gender: MALE
Name: bn-IN-Wavenet-C, Language Codes: bn-IN, SSML Gender: FEMALE
Name: bn-IN-Wavenet-D, Language Codes: bn-IN, SSML Gender: MALE
Name: ca-ES-Standard-A, Language Codes: ca-ES, SSML Gender: FEMALE
Name: ca-ES-Standard-B, Language Codes: ca-ES, SSML Gender: FEMALE
Name: cmn-CN-Chirp3-HD-Aoede, Language Codes: cmn-CN, SSML Gender: FEMALE
Name: cmn-CN-Chirp3-HD-Charon, Language Codes: cmn-CN, SSML Gender: MALE
Name: cmn-CN-Chirp3-HD-Fenrir, Language Codes: cmn-CN, SSML Gender: MALE
Name: cmn-CN-Chirp3-HD-Kore, Language Codes: cmn-CN, SSML Gender: FEMALE
Name: cmn-CN-Chirp3-HD-Leda, Language Codes: cmn-CN, SSML Gender: FEMALE
Name: cmn-CN-Chirp3-HD-Orus, Language Codes: cmn-CN, SSML Gender: MALE
Name: cmn-CN-Chirp3-HD-Puck, Language Codes: cmn-CN, SSML Gender: MALE
Name: cmn-CN-Chirp3-HD-Zephyr, Language Codes: cmn-CN, SSML Gender: FEMALE
Name: cmn-CN-Standard-A, Language Codes: cmn-CN, SSML Gender: FEMALE
Name: cmn-CN-Standard-B, Language Codes: cmn-CN, SSML Gender: MALE
Name: cmn-CN-Standard-C, Language Codes: cmn-CN, SSML Gender: MALE
Name: cmn-CN-Standard-D, Language Codes: cmn-CN, SSML Gender: FEMALE
Name: cmn-CN-Wavenet-A, Language Codes: cmn-CN, SSML Gender: FEMALE
Name: cmn-CN-Wavenet-B, Language Codes: cmn-CN, SSML Gender: MALE
Name: cmn-CN-Wavenet-C, Language Codes: cmn-CN, SSML Gender: MALE
Name: cmn-CN-Wavenet-D, Language Codes: cmn-CN, SSML Gender: FEMALE
Name: cmn-TW-Standard-A, Language Codes: cmn-TW, SSML Gender: FEMALE
Name: cmn-TW-Standard-B, Language Codes: cmn-TW, SSML Gender: MALE
Name: cmn-TW-Standard-C, Language Codes: cmn-TW, SSML Gender: MALE
Name: cmn-TW-Wavenet-A, Language Codes: cmn-TW, SSML Gender: FEMALE
Name: cmn-TW-Wavenet-B, Language Codes: cmn-TW, SSML Gender: MALE
Name: cmn-TW-Wavenet-C, Language Codes: cmn-TW, SSML Gender: MALE
Name: cs-CZ-Standard-A, Language Codes: cs-CZ, SSML Gender: FEMALE
Name: cs-CZ-Standard-B, Language Codes: cs-CZ, SSML Gender: FEMALE
Name: cs-CZ-Wavenet-A, Language Codes: cs-CZ, SSML Gender: FEMALE
Name: cs-CZ-Wavenet-B, Language Codes: cs-CZ, SSML Gender: FEMALE
Name: da-DK-Neural2-F, Language Codes: da-DK, SSML Gender: FEMALE
Name: da-DK-Standard-A, Language Codes: da-DK, SSML Gender: FEMALE
Name: da-DK-Standard-C, Language Codes: da-DK, SSML Gender: MALE
Name: da-DK-Standard-D, Language Codes: da-DK, SSML Gender: FEMALE
Name: da-DK-Standard-E, Language Codes: da-DK, SSML Gender: FEMALE
Name: da-DK-Standard-F, Language Codes: da-DK, SSML Gender: FEMALE
Name: da-DK-Standard-G, Language Codes: da-DK, SSML Gender: MALE
Name: da-DK-Wavenet-A, Language Codes: da-DK, SSML Gender: FEMALE
Name: da-DK-Wavenet-C, Language Codes: da-DK, SSML Gender: MALE
Name: da-DK-Wavenet-D, Language Codes: da-DK, SSML Gender: FEMALE
Name: da-DK-Wavenet-E, Language Codes: da-DK, SSML Gender: FEMALE
Name: da-DK-Wavenet-F, Language Codes: da-DK, SSML Gender: FEMALE
Name: da-DK-Wavenet-G, Language Codes: da-DK, SSML Gender: MALE
Name: de-DE-Chirp-HD-D, Language Codes: de-DE, SSML Gender: MALE
Name: de-DE-Chirp-HD-F, Language Codes: de-DE, SSML Gender: FEMALE
Name: de-DE-Chirp-HD-O, Language Codes: de-DE, SSML Gender: FEMALE
Name: de-DE-Chirp3-HD-Aoede, Language Codes: de-DE, SSML Gender: FEMALE
Name: de-DE-Chirp3-HD-Charon, Language Codes: de-DE, SSML Gender: MALE
Name: de-DE-Chirp3-HD-Fenrir, Language Codes: de-DE, SSML Gender: MALE
Name: de-DE-Chirp3-HD-Kore, Language Codes: de-DE, SSML Gender: FEMALE
Name: de-DE-Chirp3-HD-Leda, Language Codes: de-DE, SSML Gender: FEMALE
Name: de-DE-Chirp3-HD-Orus, Language Codes: de-DE, SSML Gender: MALE
Name: de-DE-Chirp3-HD-Puck, Language Codes: de-DE, SSML Gender: MALE
Name: de-DE-Chirp3-HD-Zephyr, Language Codes: de-DE, SSML Gender: FEMALE
Name: de-DE-Neural2-G, Language Codes: de-DE, SSML Gender: FEMALE
Name: de-DE-Neural2-H, Language Codes: de-DE, SSML Gender: MALE
Name: de-DE-Polyglot-1, Language Codes: de-DE, SSML Gender: MALE
Name: de-DE-Standard-A, Language Codes: de-DE, SSML Gender: FEMALE
Name: de-DE-Standard-B, Language Codes: de-DE, SSML Gender: MALE
Name: de-DE-Standard-C, Language Codes: de-DE, SSML Gender: FEMALE
Name: de-DE-Standard-D, Language Codes: de-DE, SSML Gender: MALE
Name: de-DE-Standard-E, Language Codes: de-DE, SSML Gender: MALE
Name: de-DE-Standard-F, Language Codes: de-DE, SSML Gender: FEMALE
Name: de-DE-Standard-G, Language Codes: de-DE, SSML Gender: FEMALE
Name: de-DE-Standard-H, Language Codes: de-DE, SSML Gender: MALE
Name: de-DE-Studio-B, Language Codes: de-DE, SSML Gender: MALE
Name: de-DE-Studio-C, Language Codes: de-DE, SSML Gender: FEMALE
Name: de-DE-Wavenet-A, Language Codes: de-DE, SSML Gender: FEMALE
Name: de-DE-Wavenet-B, Language Codes: de-DE, SSML Gender: MALE
Name: de-DE-Wavenet-C, Language Codes: de-DE, SSML Gender: FEMALE
Name: de-DE-Wavenet-D, Language Codes: de-DE, SSML Gender: MALE
Name: de-DE-Wavenet-E, Language Codes: de-DE, SSML Gender: MALE
Name: de-DE-Wavenet-F, Language Codes: de-DE, SSML Gender: FEMALE
Name: de-DE-Wavenet-G, Language Codes: de-DE, SSML Gender: FEMALE
Name: de-DE-Wavenet-H, Language Codes: de-DE, SSML Gender: MALE
Name: el-GR-Standard-A, Language Codes: el-GR, SSML Gender: FEMALE
Name: el-GR-Standard-B, Language Codes: el-GR, SSML Gender: FEMALE
Name: el-GR-Wavenet-A, Language Codes: el-GR, SSML Gender: FEMALE
Name: el-GR-Wavenet-B, Language Codes: el-GR, SSML Gender: FEMALE
Name: en-AU-Chirp-HD-D, Language Codes: en-AU, SSML Gender: MALE
Name: en-AU-Chirp-HD-F, Language Codes: en-AU, SSML Gender: FEMALE
Name: en-AU-Chirp-HD-O, Language Codes: en-AU, SSML Gender: FEMALE
Name: en-AU-Chirp3-HD-Aoede, Language Codes: en-AU, SSML Gender: FEMALE
Name: en-AU-Chirp3-HD-Charon, Language Codes: en-AU, SSML Gender: MALE
Name: en-AU-Chirp3-HD-Fenrir, Language Codes: en-AU, SSML Gender: MALE
Name: en-AU-Chirp3-HD-Kore, Language Codes: en-AU, SSML Gender: FEMALE
Name: en-AU-Chirp3-HD-Leda, Language Codes: en-AU, SSML Gender: FEMALE
Name: en-AU-Chirp3-HD-Orus, Language Codes: en-AU, SSML Gender: MALE
Name: en-AU-Chirp3-HD-Puck, Language Codes: en-AU, SSML Gender: MALE
Name: en-AU-Chirp3-HD-Zephyr, Language Codes: en-AU, SSML Gender: FEMALE
Name: en-AU-Neural2-A, Language Codes: en-AU, SSML Gender: FEMALE
Name: en-AU-Neural2-B, Language Codes: en-AU, SSML Gender: MALE
Name: en-AU-Neural2-C, Language Codes: en-AU, SSML Gender: FEMALE
Name: en-AU-Neural2-D, Language Codes: en-AU, SSML Gender: MALE
Name: en-AU-News-E, Language Codes: en-AU, SSML Gender: FEMALE
Name: en-AU-News-F, Language Codes: en-AU, SSML Gender: FEMALE
Name: en-AU-News-G, Language Codes: en-AU, SSML Gender: MALE
Name: en-AU-Polyglot-1, Language Codes: en-AU, SSML Gender: MALE
Name: en-AU-Standard-A, Language Codes: en-AU, SSML Gender: FEMALE
Name: en-AU-Standard-B, Language Codes: en-AU, SSML Gender: MALE
Name: en-AU-Standard-C, Language Codes: en-AU, SSML Gender: FEMALE
Name: en-AU-Standard-D, Language Codes: en-AU, SSML Gender: MALE
Name: en-AU-Wavenet-A, Language Codes: en-AU, SSML Gender: FEMALE
Name: en-AU-Wavenet-B, Language Codes: en-AU, SSML Gender: MALE
Name: en-AU-Wavenet-C, Language Codes: en-AU, SSML Gender: FEMALE
Name: en-AU-Wavenet-D, Language Codes: en-AU, SSML Gender: MALE
Name: en-GB-Chirp-HD-D, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-Chirp-HD-F, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Chirp-HD-O, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Chirp3-HD-Aoede, Language Codes: en-GB, SSML Gender: FEMALE
Name: en-GB-Chirp3-HD-Charon, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-Chirp3-HD-Fenrir, Language Codes: en-GB, SSML Gender: MALE
Name: en-GB-Chirp3-HD-Kore, Language Codes: en-GB, SSML Gender: FEMALE
